,Lat/Long,MaxEirp,Lat,Long,geometry
173,"-96.779542,32.701669",36.0,32.701669,-96.779542,POINT (-96.779542 32.701669)
174,"-96.779586,32.706151",36.0,32.706151,-96.779586,POINT (-96.779586 32.706151)
175,"-96.77963,32.710633",36.0,32.710633,-96.77963,POINT (-96.77963 32.710633)
176,"-96.779674,32.715115",36.0,32.715115,-96.779674,POINT (-96.779674 32.715115)
177,"-96.779718,32.719597",36.0,32.719597,-96.779718,POINT (-96.779718 32.719597)
178,"-96.779762,32.724079",36.0,32.724079,-96.779762,POINT (-96.779762 32.724079)
179,"-96.779806,32.728561",36.0,32.728561,-96.779806,POINT (-96.779806 32.728561)
180,"-96.77985,32.733043",36.0,32.733043,-96.77985,POINT (-96.77985 32.733043)
181,"-96.779894,32.737525",36.0,32.737525,-96.779894,POINT (-96.779894 32.737525)
182,"-96.779938,32.742007",36.0,32.742007,-96.779938,POINT (-96.779938 32.742007)
183,"-96.779982,32.746489",35.78229,32.746489,-96.779982,POINT (-96.779982 32.746489)
184,"-96.780026,32.750971",34.013489,32.750971,-96.780026,POINT (-96.780026 32.750971)
185,"-96.78007,32.755452",36.0,32.755452,-96.78007,POINT (-96.78007 32.755452)
186,"-96.780114,32.759934",36.0,32.759934,-96.780114,POINT (-96.780114 32.759934)
187,"-96.780158,32.764416",36.0,32.764416,-96.780158,POINT (-96.780158 32.764416)
188,"-96.780203,32.768898",36.0,32.768898,-96.780203,POINT (-96.780203 32.768898)
189,"-96.780247,32.773379",36.0,32.773379,-96.780247,POINT (-96.780247 32.773379)
190,"-96.780291,32.777861",36.0,32.777861,-96.780291,POINT (-96.780291 32.777861)
191,"-96.780335,32.782342",36.0,32.782342,-96.780335,POINT (-96.780335 32.782342)
192,"-96.780379,32.786824",36.0,32.786824,-96.780379,POINT (-96.780379 32.786824)
193,"-96.780423,32.791305",36.0,32.791305,-96.780423,POINT (-96.780423 32.791305)
194,"-96.780467,32.795787",36.0,32.795787,-96.780467,POINT (-96.780467 32.795787)
195,"-96.780511,32.800268",36.0,32.800268,-96.780511,POINT (-96.780511 32.800268)
196,"-96.780555,32.80475",36.0,32.80475,-96.780555,POINT (-96.780555 32.80475)
197,"-96.780599,32.809231",36.0,32.809231,-96.780599,POINT (-96.780599 32.809231)
198,"-96.780644,32.813713",36.0,32.813713,-96.780644,POINT (-96.780644 32.813713)
199,"-96.780688,32.818194",36.0,32.818194,-96.780688,POINT (-96.780688 32.818194)
200,"-96.780732,32.822675",36.0,32.822675,-96.780732,POINT (-96.780732 32.822675)
201,"-96.780776,32.827156",36.0,32.827156,-96.780776,POINT (-96.780776 32.827156)
202,"-96.78082,32.831638",36.0,32.831638,-96.78082,POINT (-96.78082 32.831638)
203,"-96.780864,32.836119",36.0,32.836119,-96.780864,POINT (-96.780864 32.836119)
204,"-96.780908,32.8406",36.0,32.8406,-96.780908,POINT (-96.780908 32.8406)
205,"-96.780952,32.845081",36.0,32.845081,-96.780952,POINT (-96.780952 32.845081)
206,"-96.780997,32.849562",36.0,32.849562,-96.780997,POINT (-96.780997 32.849562)
207,"-96.781041,32.854043",36.0,32.854043,-96.781041,POINT (-96.781041 32.854043)
208,"-96.781085,32.858524",36.0,32.858524,-96.781085,POINT (-96.781085 32.858524)
209,"-96.781129,32.863005",36.0,32.863005,-96.781129,POINT (-96.781129 32.863005)
210,"-96.781173,32.867486",36.0,32.867486,-96.781173,POINT (-96.781173 32.867486)
211,"-96.781218,32.871967",36.0,32.871967,-96.781218,POINT (-96.781218 32.871967)
212,"-96.781262,32.876448",36.0,32.876448,-96.781262,POINT (-96.781262 32.876448)
213,"-96.781306,32.880929",36.0,32.880929,-96.781306,POINT (-96.781306 32.880929)
214,"-96.78135,32.88541",36.0,32.88541,-96.78135,POINT (-96.78135 32.88541)
215,"-96.781394,32.889891",36.0,32.889891,-96.781394,POINT (-96.781394 32.889891)
216,"-96.781438,32.894372",36.0,32.894372,-96.781438,POINT (-96.781438 32.894372)
217,"-96.781483,32.898852",36.0,32.898852,-96.781483,POINT (-96.781483 32.898852)
218,"-96.781527,32.903333",36.0,32.903333,-96.781527,POINT (-96.781527 32.903333)
219,"-96.781571,32.907814",36.0,32.907814,-96.781571,POINT (-96.781571 32.907814)
220,"-96.781615,32.912295",36.0,32.912295,-96.781615,POINT (-96.781615 32.912295)
221,"-96.78166,32.916775",36.0,32.916775,-96.78166,POINT (-96.78166 32.916775)
222,"-96.781704,32.921256",36.0,32.921256,-96.781704,POINT (-96.781704 32.921256)
223,"-96.781748,32.925736",36.0,32.925736,-96.781748,POINT (-96.781748 32.925736)
224,"-96.781792,32.930217",36.0,32.930217,-96.781792,POINT (-96.781792 32.930217)
225,"-96.781837,32.934697",36.0,32.934697,-96.781837,POINT (-96.781837 32.934697)
226,"-96.781881,32.939178",36.0,32.939178,-96.781881,POINT (-96.781881 32.939178)
227,"-96.781925,32.943658",36.0,32.943658,-96.781925,POINT (-96.781925 32.943658)
228,"-96.784817,32.692668",36.0,32.692668,-96.784817,POINT (-96.784817 32.692668)
229,"-96.784861,32.69715",36.0,32.69715,-96.784861,POINT (-96.784861 32.69715)
230,"-96.784906,32.701632",36.0,32.701632,-96.784906,POINT (-96.784906 32.701632)
231,"-96.78495,32.706114",36.0,32.706114,-96.78495,POINT (-96.78495 32.706114)
232,"-96.784994,32.710596",36.0,32.710596,-96.784994,POINT (-96.784994 32.710596)
233,"-96.785038,32.715078",36.0,32.715078,-96.785038,POINT (-96.785038 32.715078)
234,"-96.785083,32.71956",36.0,32.71956,-96.785083,POINT (-96.785083 32.71956)
235,"-96.785127,32.724042",36.0,32.724042,-96.785127,POINT (-96.785127 32.724042)
236,"-96.785171,32.728524",36.0,32.728524,-96.785171,POINT (-96.785171 32.728524)
237,"-96.785216,32.733006",36.0,32.733006,-96.785216,POINT (-96.785216 32.733006)
238,"-96.78526,32.737488",36.0,32.737488,-96.78526,POINT (-96.78526 32.737488)
239,"-96.785304,32.74197",36.0,32.74197,-96.785304,POINT (-96.785304 32.74197)
240,"-96.785349,32.746452",36.0,32.746452,-96.785349,POINT (-96.785349 32.746452)
241,"-96.785393,32.750934",36.0,32.750934,-96.785393,POINT (-96.785393 32.750934)
242,"-96.785437,32.755415",36.0,32.755415,-96.785437,POINT (-96.785437 32.755415)
243,"-96.785482,32.759897",36.0,32.759897,-96.785482,POINT (-96.785482 32.759897)
244,"-96.785526,32.764379",36.0,32.764379,-96.785526,POINT (-96.785526 32.764379)
245,"-96.785571,32.768861",36.0,32.768861,-96.785571,POINT (-96.785571 32.768861)
246,"-96.785615,32.773342",36.0,32.773342,-96.785615,POINT (-96.785615 32.773342)
247,"-96.785659,32.777824",36.0,32.777824,-96.785659,POINT (-96.785659 32.777824)
248,"-96.785704,32.782305",36.0,32.782305,-96.785704,POINT (-96.785704 32.782305)
249,"-96.785748,32.786787",36.0,32.786787,-96.785748,POINT (-96.785748 32.786787)
250,"-96.785793,32.791269",36.0,32.791269,-96.785793,POINT (-96.785793 32.791269)
251,"-96.785837,32.79575",36.0,32.79575,-96.785837,POINT (-96.785837 32.79575)
252,"-96.785881,32.800231",36.0,32.800231,-96.785881,POINT (-96.785881 32.800231)
253,"-96.785926,32.804713",36.0,32.804713,-96.785926,POINT (-96.785926 32.804713)
254,"-96.78597,32.809194",36.0,32.809194,-96.78597,POINT (-96.78597 32.809194)
255,"-96.786015,32.813676",36.0,32.813676,-96.786015,POINT (-96.786015 32.813676)
256,"-96.786059,32.818157",36.0,32.818157,-96.786059,POINT (-96.786059 32.818157)
257,"-96.786103,32.822638",36.0,32.822638,-96.786103,POINT (-96.786103 32.822638)
258,"-96.786148,32.82712",36.0,32.82712,-96.786148,POINT (-96.786148 32.82712)
259,"-96.786192,32.831601",36.0,32.831601,-96.786192,POINT (-96.786192 32.831601)
260,"-96.786237,32.836082",36.0,32.836082,-96.786237,POINT (-96.786237 32.836082)
261,"-96.786281,32.840563",36.0,32.840563,-96.786281,POINT (-96.786281 32.840563)
262,"-96.786326,32.845044",36.0,32.845044,-96.786326,POINT (-96.786326 32.845044)
263,"-96.78637,32.849525",36.0,32.849525,-96.78637,POINT (-96.78637 32.849525)
264,"-96.786415,32.854006",36.0,32.854006,-96.786415,POINT (-96.786415 32.854006)
265,"-96.786459,32.858487",36.0,32.858487,-96.786459,POINT (-96.786459 32.858487)
266,"-96.786504,32.862968",36.0,32.862968,-96.786504,POINT (-96.786504 32.862968)
267,"-96.786548,32.867449",36.0,32.867449,-96.786548,POINT (-96.786548 32.867449)
268,"-96.786593,32.87193",36.0,32.87193,-96.786593,POINT (-96.786593 32.87193)
269,"-96.786637,32.876411",36.0,32.876411,-96.786637,POINT (-96.786637 32.876411)
270,"-96.786682,32.880892",36.0,32.880892,-96.786682,POINT (-96.786682 32.880892)
271,"-96.786726,32.885373",36.0,32.885373,-96.786726,POINT (-96.786726 32.885373)
272,"-96.786771,32.889854",36.0,32.889854,-96.786771,POINT (-96.786771 32.889854)
273,"-96.786815,32.894335",36.0,32.894335,-96.786815,POINT (-96.786815 32.894335)
274,"-96.78686,32.898815",36.0,32.898815,-96.78686,POINT (-96.78686 32.898815)
