,Lat/Long,MaxEirp,Lat,Long,geometry
147,"-96.775535,32.840637",36.0,32.840637,-96.775535,POINT (761419.1669457143 2131506.1402849685)
148,"-96.775579,32.845118",36.0,32.845118,-96.775579,POINT (761406.8927701388 2132002.896079075)
149,"-96.775623,32.849599",36.0,32.849599,-96.775623,POINT (761394.6190071437 2132499.6520988015)
150,"-96.775667,32.85408",36.0,32.85408,-96.775667,POINT (761382.3456566782 2132996.408347187)
151,"-96.775711,32.858561",36.0,32.858561,-96.775711,POINT (761370.0727186948 2133493.164827278)
152,"-96.775755,32.863042",36.0,32.863042,-96.775755,POINT (761357.8001931417 2133989.921542116)
153,"-96.775799,32.867523",36.0,32.867523,-96.775799,POINT (761345.5280799713 2134486.6784947435)
154,"-96.775842,32.872004",36.0,32.872004,-96.775842,POINT (761333.3499429857 2134983.4372239253)
155,"-96.775886,32.876485",36.0,32.876485,-96.775886,POINT (761321.0786496999 2135480.194661144)
156,"-96.77593,32.880966",36.0,32.880966,-96.77593,POINT (761308.8077686483 2135976.9523452865)
157,"-96.775974,32.885447",36.0,32.885447,-96.775974,POINT (761296.5372997784 2136473.7102793916)
158,"-96.776018,32.889928",36.0,32.889928,-96.776018,POINT (761284.2672430443 2136970.468466504)
159,"-96.776062,32.894408",36.0,32.894408,-96.776062,POINT (761271.999418001 2137467.1160357296)
160,"-96.776106,32.898889",36.0,32.898889,-96.776106,POINT (761259.7301853382 2137963.8747379323)
161,"-96.77615,32.90337",36.0,32.90337,-96.77615,POINT (761247.4613646585 2138460.6337022744)
162,"-96.776194,32.907851",36.0,32.907851,-96.776194,POINT (761235.192955914 2138957.392931801)
163,"-96.776238,32.912331",36.0,32.912331,-96.776238,POINT (761222.926778483 2139454.0415553823)
164,"-96.776282,32.916812",36.0,32.916812,-96.776282,POINT (761210.659193416 2139950.8013243536)
165,"-96.776325,32.921293",36.0,32.921293,-96.776325,POINT (761198.4855319726 2140447.5629020724)
166,"-96.776369,32.925773",36.0,32.925773,-96.776369,POINT (761186.220584989 2140944.2123482474)
167,"-96.776413,32.930254",36.0,32.930254,-96.776413,POINT (761173.9542303545 2141440.9729491244)
168,"-96.776457,32.934734",36.0,32.934734,-96.776457,POINT (761161.6901065608 2141937.6229589763)
169,"-96.776501,32.939215",36.0,32.939215,-96.776501,POINT (761149.4245751067 2142434.38412974)
170,"-96.776545,32.943695",36.0,32.943695,-96.776545,POINT (761137.1612742996 2142931.0347154387)
171,"-96.779454,32.692705",36.0,32.692705,-96.779454,POINT (761321.0061217697 2115098.503697677)
172,"-96.779498,32.697187",36.0,32.697187,-96.779498,POINT (761308.7418814297 2115595.365250505)
173,"-96.779542,32.701669",36.0,32.701669,-96.779542,POINT (761296.4780554109 2116092.2269286243)
174,"-96.779586,32.706151",36.0,32.706151,-96.779586,POINT (761284.2146436626 2116589.08873507)
175,"-96.77963,32.710633",36.0,32.710633,-96.77963,POINT (761271.9516461352 2117085.9506728877)
176,"-96.779674,32.715115",36.0,32.715115,-96.779674,POINT (761259.6890627777 2117582.8127451115)
177,"-96.779718,32.719597",36.0,32.719597,-96.779718,POINT (761247.426893543 2118079.674954786)
178,"-96.779762,32.724079",34.80805775,32.724079,-96.779762,POINT (761235.165138379 2118576.5373049495)
179,"-96.779806,32.728561",36.0,32.728561,-96.779806,POINT (761222.9037972398 2119073.3997986424)
180,"-96.77985,32.733043",36.0,32.733043,-96.77985,POINT (761210.6428700708 2119570.2624389064)
181,"-96.779894,32.737525",36.0,32.737525,-96.779894,POINT (761198.3823568261 2120067.1252287813)
182,"-96.779938,32.742007",34.89267825,32.742007,-96.779938,POINT (761186.1222574537 2120563.9881713074)
183,"-96.779982,32.746489",28.111434,32.746489,-96.779982,POINT (761173.8625719064 2121060.8512695283)
184,"-96.780026,32.750971",27.80903275,32.750971,-96.780026,POINT (761161.6033001321 2121557.714526483)
185,"-96.78007,32.755452",36.0,32.755452,-96.78007,POINT (761149.346257441 2122054.4670726154)
