Lat, Long, OperatingClass, ChannelIndex, MaxEirp
32.734166,-97.171592,131,173,36
32.734166,-97.171592,131,177,36
32.734166,-97.171592,131,181,36
32.734166,-97.171592,132,3,36
32.734166,-97.171592,132,11,34.488497
32.734166,-97.171592,132,19,36
32.734166,-97.171592,132,27,36
32.734166,-97.171592,132,35,36
32.734166,-97.171592,132,43,36
32.734166,-97.171592,132,51,36
32.734166,-97.171592,132,59,36
32.734166,-97.171592,132,67,36
32.734166,-97.171592,132,75,36
32.734166,-97.171592,132,83,36
32.734166,-97.171592,132,91,36
32.734166,-97.171592,132,123,36
32.734166,-97.171592,132,131,36
32.734166,-97.171592,132,139,36
32.734166,-97.171592,132,147,36
32.734166,-97.171592,132,155,36
32.734166,-97.171592,132,163,36
32.734166,-97.171592,132,171,36
32.734166,-97.171592,132,179,36
32.734166,-97.171592,133,7,36
32.734166,-97.171592,133,23,36
32.734166,-97.171592,133,39,36
32.734166,-97.171592,133,55,36
32.734166,-97.171592,133,71,36
32.734166,-97.171592,133,87,36
32.734166,-97.171592,133,135,36
32.734166,-97.171592,133,151,36
32.734166,-97.171592,133,167,36
32.734166,-97.171592,134,15,36
32.734166,-97.171592,134,47,36
32.734166,-97.171592,134,79,36
32.734166,-97.171592,134,143,36
32.734166,-97.171592,136,2,36
32.743129,-97.171724,131,1,36
32.743129,-97.171724,131,5,36
32.743129,-97.171724,131,9,36
32.743129,-97.171724,131,13,36
32.743129,-97.171724,131,17,36
32.743129,-97.171724,131,21,36
32.743129,-97.171724,131,25,36
32.743129,-97.171724,131,29,36
32.743129,-97.171724,131,33,36
32.743129,-97.171724,131,37,36
32.743129,-97.171724,131,41,36
32.743129,-97.171724,131,45,36
32.743129,-97.171724,131,49,36
32.743129,-97.171724,131,53,36
32.743129,-97.171724,131,57,36
32.743129,-97.171724,131,61,36
32.743129,-97.171724,131,65,36
32.743129,-97.171724,131,69,36
32.743129,-97.171724,131,73,32.284937
32.743129,-97.171724,131,77,36
32.743129,-97.171724,131,81,36
32.743129,-97.171724,131,85,36
32.743129,-97.171724,131,89,36
32.743129,-97.171724,131,93,36
32.743129,-97.171724,131,117,36
32.743129,-97.171724,131,121,36
32.743129,-97.171724,131,125,36
32.743129,-97.171724,131,129,36
32.743129,-97.171724,131,133,36
32.743129,-97.171724,131,137,36
32.743129,-97.171724,131,141,36
32.743129,-97.171724,131,145,36
32.743129,-97.171724,131,149,36
32.743129,-97.171724,131,153,36
32.743129,-97.171724,131,157,36
32.743129,-97.171724,131,161,36
32.743129,-97.171724,131,165,36
32.743129,-97.171724,131,169,27.988527
32.743129,-97.171724,131,173,36
32.743129,-97.171724,131,177,36
32.743129,-97.171724,131,181,36
32.743129,-97.171724,132,3,36
32.743129,-97.171724,132,11,36
32.743129,-97.171724,132,19,36
32.743129,-97.171724,132,27,36
32.743129,-97.171724,132,35,36
32.743129,-97.171724,132,43,36
32.743129,-97.171724,132,51,36
32.743129,-97.171724,132,59,36
32.743129,-97.171724,132,67,36
32.743129,-97.171724,132,75,34.259624
32.743129,-97.171724,132,83,36
32.743129,-97.171724,132,91,36
32.743129,-97.171724,132,123,36
32.743129,-97.171724,132,131,36
32.743129,-97.171724,132,139,36
32.743129,-97.171724,132,147,36
32.743129,-97.171724,132,155,36
32.743129,-97.171724,132,163,36
32.743129,-97.171724,132,171,31.011556
32.743129,-97.171724,132,179,36
32.743129,-97.171724,133,7,36
32.743129,-97.171724,133,23,36
32.743129,-97.171724,133,39,36
32.743129,-97.171724,133,55,36
32.743129,-97.171724,133,71,36
32.743129,-97.171724,133,87,36
32.743129,-97.171724,133,135,36
32.743129,-97.171724,133,151,36
32.743129,-97.171724,133,167,33.99638
32.743129,-97.171724,134,15,36
32.743129,-97.171724,134,47,36
32.743129,-97.171724,134,79,36
32.743129,-97.171724,134,143,36
32.743129,-97.171724,136,2,36
32.752092,-97.171857,131,1,36
32.752092,-97.171857,131,5,36
32.752092,-97.171857,131,9,36
32.752092,-97.171857,131,13,36
32.752092,-97.171857,131,17,36
32.752092,-97.171857,131,21,36
32.752092,-97.171857,131,25,36
32.752092,-97.171857,131,29,36
32.752092,-97.171857,131,33,36
32.752092,-97.171857,131,37,36
32.752092,-97.171857,131,41,36
32.752092,-97.171857,131,45,36
32.752092,-97.171857,131,49,36
32.752092,-97.171857,131,53,36
32.752092,-97.171857,131,57,36
32.752092,-97.171857,131,61,36
32.752092,-97.171857,131,65,36
32.752092,-97.171857,131,69,36
32.752092,-97.171857,131,73,36
32.752092,-97.171857,131,77,36
32.752092,-97.171857,131,81,36
32.752092,-97.171857,131,85,36
32.752092,-97.171857,131,89,36
32.752092,-97.171857,131,93,36
32.752092,-97.171857,131,117,36
32.752092,-97.171857,131,121,36
32.752092,-97.171857,131,125,36
32.752092,-97.171857,131,129,36
32.752092,-97.171857,131,133,36
32.752092,-97.171857,131,137,36
32.752092,-97.171857,131,141,36
32.752092,-97.171857,131,145,36
32.752092,-97.171857,131,149,36
32.752092,-97.171857,131,153,36
32.752092,-97.171857,131,157,36
32.752092,-97.171857,131,161,36
32.752092,-97.171857,131,165,36
32.752092,-97.171857,131,169,36
32.752092,-97.171857,131,173,36
32.752092,-97.171857,131,177,36
32.752092,-97.171857,131,181,36
32.752092,-97.171857,132,3,36
32.752092,-97.171857,132,11,36
32.752092,-97.171857,132,19,36
32.752092,-97.171857,132,27,36
32.752092,-97.171857,132,35,36
32.752092,-97.171857,132,43,36
32.752092,-97.171857,132,51,36
32.752092,-97.171857,132,59,36
32.752092,-97.171857,132,67,36
32.752092,-97.171857,132,75,36
32.752092,-97.171857,132,83,36
32.752092,-97.171857,132,91,36
32.752092,-97.171857,132,123,36
32.752092,-97.171857,132,131,36
32.752092,-97.171857,132,139,36
32.752092,-97.171857,132,147,36
32.752092,-97.171857,132,155,36
32.752092,-97.171857,132,163,36
32.752092,-97.171857,132,171,36
32.752092,-97.171857,132,179,36
32.752092,-97.171857,133,7,36
32.752092,-97.171857,133,23,36
32.752092,-97.171857,133,39,36
32.752092,-97.171857,133,55,36
32.752092,-97.171857,133,71,36
32.752092,-97.171857,133,87,36
32.752092,-97.171857,133,135,36
32.752092,-97.171857,133,151,36
32.752092,-97.171857,133,167,36
32.752092,-97.171857,134,15,36
32.752092,-97.171857,134,47,36
32.752092,-97.171857,134,79,36
32.752092,-97.171857,134,143,36
32.752092,-97.171857,136,2,36
32.761056,-97.171989,131,1,36
32.761056,-97.171989,131,5,36
32.761056,-97.171989,131,9,36
32.761056,-97.171989,131,13,36
32.761056,-97.171989,131,17,36
32.761056,-97.171989,131,21,36
32.761056,-97.171989,131,25,36
32.761056,-97.171989,131,29,36
32.761056,-97.171989,131,33,36
32.761056,-97.171989,131,37,36
32.761056,-97.171989,131,41,36
32.761056,-97.171989,131,45,36
32.761056,-97.171989,131,49,36
32.761056,-97.171989,131,53,36
32.761056,-97.171989,131,57,36
32.761056,-97.171989,131,61,36
32.761056,-97.171989,131,65,36
32.761056,-97.171989,131,69,36
32.761056,-97.171989,131,73,36
32.761056,-97.171989,131,77,36
32.761056,-97.171989,131,81,36
32.761056,-97.171989,131,85,36
32.761056,-97.171989,131,89,36
32.761056,-97.171989,131,93,36
32.761056,-97.171989,131,117,36
32.761056,-97.171989,131,121,36
32.761056,-97.171989,131,125,36
32.761056,-97.171989,131,129,36
32.761056,-97.171989,131,133,36
32.761056,-97.171989,131,137,36
32.761056,-97.171989,131,141,36
32.761056,-97.171989,131,145,36
32.761056,-97.171989,131,149,36
32.761056,-97.171989,131,153,36
32.761056,-97.171989,131,157,36
32.761056,-97.171989,131,161,36
32.761056,-97.171989,131,165,36
32.761056,-97.171989,131,169,36
32.761056,-97.171989,131,173,36
